,formula,Temperature,target,ei,std
218,Nb77Al2C2Co19,24,213.0437506,8.97E-08,17.77205196
209,Nb86Al2C2Co10,24,188.8310847,8.94E-08,22.08103259
30,Nb91Al1C2Co6,24,173.6798764,8.88E-08,24.76016742
602,Nb89Al4C4Co3,24,185.456076,8.87E-08,22.67421419
96,Nb73Al1C4Co22,24,207.2966351,8.80E-08,18.78706995
804,Nb85Al5C5Co5,24,201.421442,8.76E-08,19.83079479
648,Nb67Al4C5Co24,24,205.0560534,8.73E-08,19.18164052
56,Nb89Al1C3Co7,24,184.4574151,8.73E-08,22.83980522
618,Nb73Al4C4Co19,24,215.9524786,8.67E-08,17.23437568
101,Nb92Al1C5Co2,24,175.2880268,8.65E-08,24.45571688
213,Nb82Al2C2Co14,24,199.4572106,8.53E-08,20.16354508
439,Nb78Al3C4Co15,24,216.3868285,8.51E-08,17.14680047
672,Nb67Al4C6Co23,24,205.7891272,8.45E-08,19.03194417
940,Nb75Al6C3Co16,24,219.1388384,8.42E-08,16.64979728
265,Nb78Al2C4Co16,24,212.633187,8.42E-08,17.81058211
365,Nb80Al3C1Co16,24,207.6093234,8.40E-08,18.70415081
146,Nb71Al1C6Co22,24,207.373819,8.38E-08,18.7451872
966,Nb73Al6C4Co17,24,217.0263571,8.36E-08,17.02296258
819,Nb70Al5C5Co20,24,209.7614131,8.34E-08,18.31719889
535,Nb84Al4C1Co11,24,190.1887157,8.31E-08,21.79107483
186,Nb85Al2C1Co12,24,190.6524771,8.29E-08,21.70728264
139,Nb78Al1C6Co15,24,204.9580732,8.23E-08,19.16402641
121,Nb72Al1C5Co22,24,207.3819036,8.11E-08,18.72484375
33,Nb88Al1C2Co9,24,184.3314537,8.07E-08,22.80739313
174,Nb67Al1C7Co25,24,202.6671218,8.06E-08,19.5588704
445,Nb72Al3C4Co21,24,211.4115109,8.05E-08,18.00345312
65,Nb80Al1C3Co16,24,204.6072894,8.04E-08,19.21277453
843,Nb70Al5C6Co19,24,209.0726025,8.02E-08,18.41754047
629,Nb86Al4C5Co5,24,199.8902242,8.02E-08,20.04840354
90,Nb79Al1C4Co16,24,205.6479811,7.97E-08,19.02279025
411,Nb82Al3C3Co12,24,202.9953032,7.95E-08,19.49226807
884,Nb83Al6C1Co10,24,201.2536107,7.94E-08,19.80061557
195,Nb76Al2C1Co21,24,210.5441262,7.82E-08,18.14192711
233,Nb86Al2C3Co9,24,195.8648833,7.79E-08,20.74420465
943,Nb72Al6C3Co19,24,218.3152115,7.71E-08,16.75133054
311,Nb80Al2C6Co12,24,208.3498364,7.71E-08,18.52334238
298,Nb69Al2C5Co24,24,209.8915341,7.58E-08,18.24029025
229,Nb90Al2C3Co5,24,177.5363153,7.52E-08,23.95677887
454,Nb87Al3C5Co5,24,195.4910165,7.50E-08,20.78607565
125,Nb92Al1C6Co1,24,177.4431301,7.49E-08,23.97020339
360,Nb85Al3C1Co11,24,187.6079007,7.33E-08,22.16383582
54,Nb91Al1C3Co5,24,176.0018713,7.31E-08,24.20660952
74,Nb71Al1C3Co25,24,206.5709207,7.30E-08,18.80809578
